,dataset,country,crop_f1,accuracy,crop_support,noncrop_support,crop_recall,noncrop_recall,crop_precision,noncrop_precision,tn,fp,fn,tp
Zambia,glad,Zambia,0.71,0.98,20,469,0.75,0.99,0.68,0.99,462,7,5,15
Zambia,asap,Zambia,0.15,0.67,20,469,0.7,0.67,0.08,0.98,315,154,6,14
Zambia,dynamicworld,Zambia,0.61,0.97,20,469,0.5,0.99,0.77,0.98,466,3,10,10
Zambia,gfsad-gcep,Zambia,0.58,0.95,20,469,0.8,0.96,0.46,0.99,450,19,4,16
Zambia,gfsad-lgrip,Zambia,0.58,0.95,20,469,0.8,0.96,0.46,0.99,450,19,4,16
Zambia,digital-earth-africa,Zambia,0.57,0.94,20,469,0.95,0.94,0.4,1.0,441,28,1,19
Zambia,esa-cci-africa,Zambia,0.46,0.93,20,469,0.7,0.94,0.34,0.99,442,27,6,14
Zambia,globcover-v23,Zambia,0.19,0.91,20,469,0.25,0.94,0.15,0.97,441,28,15,5
Zambia,globcover-v22,Zambia,0.1,0.85,20,469,0.2,0.88,0.07,0.96,412,57,16,4
Zambia,esri-lulc,Zambia,0.74,0.98,20,469,0.7,0.99,0.78,0.99,465,4,6,14
Zambia,nabil-etal-2021,Zambia,0.56,0.95,20,469,0.75,0.96,0.44,0.99,450,19,5,15
Zambia,ensemble-subset,Zambia,0.74,0.98,20,469,0.8,0.99,0.7,0.99,462,7,4,16
