Year,AlJazirah crop area,95% CI,AlJazirah Non-crop area,95% CI,AlQadarif crop area,95% CI,AlQadarif Non-crop area,95% CI,WestDarfur crop area,95% CI,WestDarfur Non-crop area,95% CI,CentralDarfur crop area,95% CI,CentralDarfur Non-crop area,95% CI,SouthDarfur crop area,95% CI,SouthDarfur Non-crop area,95% CI
2022,1038357.67,211911.48,1405219.82,211911.48,3699444.03,327081.69,2728299.09,327081.69,365424.27,155661.61,1911921.47,155661.61,557058.29,185579.4,3165385.83,185579.4,1473342.87,287520.97,6349430.03,287520.97
2023,1165285.74,209330.3,1278291.75,209330.3,3710186.82,337116.99,2717556.29,337116.99,351607.46,150545.59,1925738.28,150545.59,562417.16,178617.87,3160026.96,178617.87,1261626.04,291377.41,6561146.86,291377.41
